date,time,day,ID,temperature,replicate,density
16-03-15 19:06,11.13888889,11,16a,16,1,1111075
16-03-15 19:08,11.1375,11,16b,16,2,1751922
16-03-15 19:16,11.14166667,11,16c,16,3,2226904
16-03-15 19:18,11.14166667,11,16d,16,4,2716011
16-03-15 19:20,11.14166667,11,16e,16,5,2735342
16-03-15 19:22,11.14027778,11,16f,16,6,3058090
16-03-15 19:11,11.13125,11,16g,16,7,2292216
16-03-15 19:14,11.13263889,11,16h,16,8,1191836
16-03-15 19:51,11.24027778,11,18b,18,2,762591
16-03-15 19:52,11.23888889,11,18c,18,3,1443456
16-03-15 19:54,11.23888889,11,18d,18,4,1260035
16-03-15 19:57,11.23888889,11,18e,18,5,1160515
16-03-15 20:00,11.23958333,11,18f,18,6,1888361
16-03-15 20:03,11.23958333,11,18g,18,7,998440
16-03-15 20:05,11.23958333,11,18h,18,8,1619453
16-03-18 14:15,13.99027778,14,24a,24,1,2822203
16-03-18 14:49,14.0125,14,24b,24,2,3038175
16-03-18 14:56,14.01527778,14,24c,24,3,2642705
16-03-18 14:59,14.01597222,14,24d,24,4,2615194
16-03-18 15:01,14.01527778,14,24e,24,5,2726475
16-03-18 15:03,14.01527778,14,24f,24,6,2878569
16-03-18 15:05,14.01527778,14,24g,24,7,2684538
16-03-18 15:07,14.01527778,14,24h,24,8,2489651
16-03-18 15:19,14.01944444,14,22a,22,1,622250
16-03-18 15:21,14.01944444,14,22b,22,2,654023
16-03-18 15:26,14.02013889,14,22c,22,3,802541
16-03-18 15:30,14.02152778,14,22d,22,4,1094137
16-03-18 15:41,14.02777778,14,22e,22,5,865371
16-03-18 15:42,14.02430556,14,22f,22,6,1794062
16-03-18 15:44,14.02430556,14,22g,22,7,1822219
16-03-18 15:47,14.025,14,22h,22,8,999470
16-03-18 16:46,14.06180556,14,20a,20,1,2641030
16-03-18 16:48,14.06180556,14,20b,20,2,1195408
16-03-18 16:52,14.0625,14,20c,20,3,979378
16-03-18 16:54,14.0625,14,20d,20,4,632857
16-03-18 16:57,14.06388889,14,20e,20,5,476612
16-03-18 16:59,14.06388889,14,20f,20,6,579846
16-03-18 17:01,14.06319444,14,20g,20,7,616828
16-03-18 17:03,14.06111111,14,20h,20,8,295911
16-03-18 17:08,14.05694444,14,16a,16,1,1479651
16-03-18 17:11,14.05625,14,16b,16,2,1188123
16-03-18 17:13,14.05625,14,16c,16,3,1867209
16-03-18 17:16,14.05694444,14,16d,16,4,2165893
16-03-18 17:18,14.05694444,14,16e,16,5,2457633
16-03-18 17:20,14.05555556,14,16f,16,6,2595344
16-03-18 17:23,14.05625,14,16g,16,7,1229292
16-03-18 17:24,14.05625,14,16h,16,8,753030
16-03-18 15:53,14.07777778,14,18a,18,1,1525260
16-03-18 16:01,14.08055556,14,18b,18,2,601933
16-03-18 16:07,14.08263889,14,18c,18,3,1368598
16-03-18 16:10,14.08333333,14,18d,18,4,1249526
16-03-18 16:13,14.08333333,14,18e,18,5,967271
16-03-18 16:15,14.08333333,14,18f,18,6,1136596
16-03-18 16:17,14.08263889,14,18g,18,7,774661
16-03-18 16:20,14.08333333,14,18h,18,8,980475
16-03-29 8:29,24.75,24,24a,24,1,1107994
16-03-29 8:33,24.75138889,24,24b,24,2,2680244
16-03-29 8:36,24.75138889,24,24c,24,3,2161709
16-03-29 8:40,24.75277778,24,24d,24,4,2402058
16-03-29 8:43,24.75277778,24,24e,24,5,2263110
16-03-29 8:46,24.75347222,24,24f,24,6,2635798
16-03-29 8:48,24.75347222,24,24g,24,7,2279691
16-03-29 8:51,24.75416667,24,24h,24,8,2839847
16-03-29 11:59,24.88055556,24,22a,22,1,2349280
16-03-29 12:01,24.88055556,24,22b,22,2,2707423
16-03-29 12:03,24.87916667,24,22c,22,3,2784737
16-03-29 12:06,24.87986111,24,22d,22,4,2425346
16-03-29 12:09,24.88055556,24,22e,22,5,2813781
16-03-29 12:11,24.87777778,24,22f,22,6,3249936
16-03-29 12:13,24.87777778,24,22g,22,7,3099068
16-03-29 12:16,24.87847222,24,22h,22,8,2914082
16-03-29 12:19,24.87638889,24,20a,20,1,2936404
16-03-29 12:21,24.87638889,24,20b,20,2,2290768
16-03-29 12:25,24.87708333,24,20c,20,3,2799313
16-03-29 12:29,24.87847222,24,20d,20,4,2923545
16-03-29 12:31,24.87916667,24,20e,20,5,2507206
16-03-29 12:33,24.87916667,24,20f,20,6,2066622
16-03-29 12:37,24.87986111,24,20g,20,7,2224457
16-03-29 12:39,24.87777778,24,20h,20,8,2104660
16-03-29 12:44,24.87361111,24,16a,16,1,1534250
16-03-29 12:46,24.87222222,24,16b,16,2,2888968
16-03-29 12:50,24.87361111,24,16c,16,3,2261538
16-03-29 12:52,24.87361111,24,16d,16,4,2147100
29-Mar,24.87361111,24,16e,16,5,2197683
16-03-29 12:56,24.87222222,24,16f,16,6,2867838
16-03-29 12:59,24.87291667,24,16g,16,7,2431641
16-03-29 13:01,24.87361111,24,16h,16,8,2454439
16-03-29 8:54,24.78680556,24,18a,18,1,2377045
16-03-29 8:57,24.78611111,24,18b,18,2,1956168
16-03-29 8:59,24.78541667,24,18c,18,3,2159130
16-03-29 9:01,24.78541667,24,18d,18,4,2173325
16-03-29 9:04,24.78541667,24,18e,18,5,2043709
16-03-29 9:08,24.78680556,24,18f,18,6,2296784
16-03-29 9:13,24.78819444,24,18g,18,7,1802786
16-03-29 9:16,24.78888889,24,18h,18,8,2315304
16-04-04 16:00,31.06319444,31,24a,24,1,2642308
16-04-04 16:05,31.06527778,31,24b,24,2,2365204
16-04-04 16:07,31.06458333,31,24c,24,3,2027660
16-04-04 16:09,31.06458333,31,24d,24,4,2748343
16-04-04 16:12,31.06458333,31,24e,24,5,2625025
16-04-04 16:14,31.06458333,31,24f,24,6,2903846
16-04-04 16:16,31.06458333,31,24g,24,7,2578435
16-04-04 16:19,31.06527778,31,24h,24,8,2362411
16-04-04 16:22,31.06319444,31,22a,22,1,2342104
16-04-04 16:28,31.06597222,31,22b,22,2,2094702
16-04-04 16:31,31.06527778,31,22c,22,3,2225793
16-04-04 16:32,31.06458333,31,22d,22,4,2567593
16-04-04 16:37,31.06666667,31,22e,22,5,3916500
16-04-04 16:41,31.06527778,31,22f,22,6,2210960
16-04-04 16:43,31.06527778,31,22g,22,7,2449684
16-04-04 16:46,31.06597222,31,22h,22,8,2185663
16-04-04 17:57,31.11111111,31,20a,20,1,2155850
16-04-04 17:59,31.11111111,31,20b,20,2,2509802
16-04-04 18:01,31.11041667,31,20c,20,3,2329562
16-04-04 18:03,31.11041667,31,20d,20,4,2928363
16-04-04 18:06,31.11180556,31,20e,20,5,2512038
16-04-04 18:08,31.11180556,31,20f,20,6,2799688
16-04-04 18:11,31.11180556,31,20g,20,7,2710947
16-04-04 18:18,31.11319444,31,20h,20,8,1986621
16-04-04 18:19,31.10625,31,16a,16,1,2371940
16-04-04 18:23,31.10625,31,16b,16,2,2995978
16-04-04 18:27,31.10763889,31,16c,16,3,3014092
16-04-04 18:29,31.10763889,31,16d,16,4,3133307
16-04-04 18:32,31.10833333,31,16e,16,5,2921051
16-04-04 18:38,31.10972222,31,16f,16,6,3086566
16-04-04 18:41,31.11041667,31,16g,16,7,2878873
16-04-04 18:44,31.11180556,31,16h,16,8,2116059
16-04-04 16:49,31.11666667,31,18a,18,1,2550727
16-04-04 16:51,31.11527778,31,18b,18,2,2311232
16-04-04 16:53,31.11458333,31,18c,18,3,2584015
16-04-04 16:54,31.11388889,31,18d,18,4,2228263
16-04-04 16:56,31.11319444,31,18e,18,5,2470942
16-04-04 16:58,31.11319444,31,18f,18,6,1914196
16-04-04 17:00,31.1125,31,18g,18,7,2101513
16-04-04 17:02,31.1125,31,18h,18,8,2165868
16-04-14 12:31,40.91805556,41,24a,24,1,1266698
16-04-14 12:34,40.91875,41,24b,24,2,1581901
16-04-14 12:36,40.91805556,41,24c,24,3,1430417
16-04-14 12:38,40.91805556,41,24d,24,4,1735514
16-04-14 12:41,40.91805556,41,24e,24,5,1352729
16-04-14 12:43,40.91805556,41,24f,24,6,1994120
16-04-14 12:45,40.91805556,41,24g,24,7,1567337
16-04-14 12:47,40.91805556,41,24h,24,8,1765222
16-04-14 12:52,40.91736111,41,22a,22,1,1727373
16-04-14 12:57,40.91944444,41,22b,22,2,1375358
16-04-14 12:58,40.91736111,41,22c,22,3,1640266
16-04-14 13:01,40.91805556,41,22d,22,4,1945088
16-04-14 13:04,40.91875,41,22e,22,5,1940216
16-04-14 13:06,40.91597222,41,22f,22,6,1992698
16-04-14 13:08,40.91597222,41,22g,22,7,2025332
16-04-14 13:10,40.91597222,41,22h,22,8,1482747
16-04-14 14:44,40.97708333,41,20a,20,1,1992756
16-04-14 14:46,40.97708333,41,20b,20,2,1857114
16-04-14 14:48,40.97638889,41,20c,20,3,1917114
16-04-14 14:50,40.97638889,41,20d,20,4,1683834
16-04-14 14:53,40.97777778,41,20e,20,5,1629205
16-04-14 14:54,40.97708333,41,20f,20,6,2264106
16-04-14 14:56,40.97638889,41,20g,20,7,1798816
16-04-14 14:28,40.95347222,41,20h,20,8,2025780
16-04-14 14:25,40.94375,41,16a,16,1,1814709
16-04-14 14:27,40.94236111,41,16b,16,2,2271932
16-04-14 14:30,40.94305556,41,16c,16,3,2362035
16-04-14 14:33,40.94375,41,16d,16,4,2428472
16-04-14 14:34,40.94305556,41,16e,16,5,2657293
16-04-14 14:37,40.94236111,41,16f,16,6,2261663
16-04-14 14:39,40.94236111,41,16g,16,7,2142439
16-04-14 14:42,40.94375,41,16h,16,8,2498878
16-04-14 13:19,40.97083333,41,18a,18,1,1894763
16-04-14 13:28,40.97430556,41,18b,18,2,2409652
16-04-14 13:30,40.97361111,41,18c,18,3,1961836
16-04-14 13:32,40.97361111,41,18d,18,4,1674843
16-04-14 13:34,40.97291667,41,18e,18,5,2590642
16-04-14 13:46,40.97986111,41,18f,18,6,2205086
16-04-14 13:44,40.97638889,41,18g,18,7,2496491
16-04-14 13:48,40.97777778,41,18h,18,8,1551432
16-04-20 9:16,46.78263889,47,24a,24,1,1682908
16-04-20 9:19,46.78333333,47,24b,24,2,2365477
16-04-20 9:21,46.78263889,47,24c,24,3,1386087
16-04-20 9:23,46.78263889,47,24d,24,4,1938456
16-04-20 9:26,46.78263889,47,24e,24,5,1571642
16-04-20 9:28,46.78263889,47,24f,24,6,2160966
16-04-20 9:30,46.78263889,47,24g,24,7,1767677
16-04-20 9:31,46.78194444,47,24h,24,8,1779135
16-04-20 9:36,46.78125,47,22a,22,1,1819815
16-04-20 9:38,46.78125,47,22b,22,2,1685126
16-04-20 9:40,46.77986111,47,22c,22,3,1547477
16-04-20 9:42,46.77986111,47,22d,22,4,1802788
16-04-20 9:46,46.78125,47,22e,22,5,1567895
16-04-20 9:49,46.77916667,47,22f,22,6,1344048
16-04-20 9:51,46.77916667,47,22g,22,7,1910039
16-04-20 9:53,46.77916667,47,22h,22,8,1607732
16-04-20 10:38,46.80625,47,20a,20,1,1730584
16-04-20 10:40,46.80625,47,20b,20,2,1634700
16-04-20 10:43,46.80625,47,20c,20,3,1612335
16-04-20 10:46,46.80694444,47,20d,20,4,2185874
16-04-20 10:47,46.80694444,47,20e,20,5,1912999
16-04-20 10:49,46.80694444,47,20f,20,6,1870885
16-04-20 10:53,46.80763889,47,20g,20,7,2122574
16-04-20 10:56,46.80625,47,20h,20,8,1838182
16-04-20 10:58,46.8,47,16a,16,1,1544645
16-04-20 11:03,46.80069444,47,16b,16,2,1403996
16-04-20 11:08,46.80277778,47,16c,16,3,2008522
16-04-20 11:10,46.80277778,47,16d,16,4,1915549
16-04-20 11:12,46.80277778,47,16e,16,5,2165426
16-04-20 11:14,46.80138889,47,16f,16,6,1978830
16-04-20 11:17,46.80208333,47,16g,16,7,1588332
16-04-20 11:17,46.80138889,47,16h,16,8,2348906
16-04-20 9:58,46.83125,47,18a,18,1,1842589
16-04-20 10:01,46.83055556,47,18b,18,2,2072794
16-04-20 10:02,46.82916667,47,18c,18,3,2057516
16-04-20 10:05,46.82986111,47,18d,18,4,1789127
16-04-20 10:07,46.82916667,47,18e,18,5,1875949
16-04-20 10:09,46.82916667,47,18f,18,6,1770230
16-04-20 10:11,46.82847222,47,18g,18,7,1572499
16-04-20 10:13,46.82847222,47,18h,18,8,1765307
